Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
4186,0.015432936381715683,0.0224984662856843,0.0038330168440879214,0.0034453466814018544,0.010473151563288761,0.010473151563288761,0.013546531837947923,0.02696704760026936
4187,0.0018864045437677972,0.008951934447736419,0.005998965340314352,0.005739507737920467,0.005739507737920467,0.005739507737920467,0.0,0.0
4188,0.019152104448157226,0.3987471116557185,0.3623997511658647,0.00034899407118724006,0.36935516779123495,0.36935516779123495,0.0,0.37155886261196286
4189,0.01446350186824337,0.0055850833493378575,0.0009723984225022904,0.00035962562827746984,0.00035962562827746984,0.00035962562827746984,0.0,0.0
4190,0.0,0.0022224421620449684,0.010303888019680624,0.01022094627629572,0.01022094627629572,0.01022097049216714,0.0,0.0
4191,0.0014059072487189231,0.0685948808751382,0.0025084820245220617,0.004738313455122006,0.004738313455122006,0.004738313455122006,0.0,0.018615678167346827
4192,0.0,0.01909933150174009,0.001961474459144891,0.0005148454444792778,0.00013542733066026794,0.00013542733066026794,0.0,0.0
4193,0.0036232759609598165,0.01064166100356224,0.007284141285663808,0.008329366049279316,0.007660511390133729,0.007660511390133729,0.008461578748196181,0.025090980962830522
4194,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.00029805036099369095,0.00029805036099369095,0.00029805036099369095,0.0,0.0
4195,0.004764116509774755,0.027611389679336986,0.00013316570391323857,4.816462304069176e-05,4.805364279834213e-05,4.805364279834213e-05,0.0,0.0
4196,0.007348207944795254,0.3484926803421782,0.4232405652743187,0.22942533795565606,0.42645121223573484,0.42645121223573484,0.42269107182227916,0.0
4197,0.019108822947704676,0.4727476930994953,0.4364003326096416,0.005199053620531285,0.00557207585803486,0.00557207585803486,0.05585323473351745,0.0
4198,0.011466785225546994,0.03617675311069971,0.0005494934520395503,0.00029818778891654884,0.00029818778891654884,0.00029818778891654884,0.0,0.008562013503424
4199,0.004851481473923584,0.036176753110700025,0.001524329182542226,0.0001083011126038656,0.0001083011126038656,0.0001083011126038656,0.0,0.0
4200,0.004748088415443274,0.016274208654291925,0.0033530068782999744,0.0019247049457877163,0.0019246017585751723,0.0019246017585751723,0.0,0.0
