Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
97,0.0,0.0005481364203054688,0.00765502291456555,0.01023761810238005,-0.0008171097910628575,0.00019214552121489043,0.00019205415995348152,0.00019205415995348152,0.0010047577378977752,0.0010047577378977752,0.0010047577378977752
98,0.0,-0.00976672424549699,-0.008764813995113401,0.02284727316956213,-0.013680836145165694,-0.012270085997796932,-0.012270085997796932,-0.012270085997796932,-0.0047641165097746345,-0.0047641165097746345,-0.0047641165097746345
99,0.0,0.009060287518451303,0.01136659459104788,0.04763795511869358,0.012017709376928538,0.01099943664315491,0.010999336423535793,0.010999336423535793,0.011466785225546734,0.011466785225546734,0.011466785225546734
100,0.0,0.00938089787416882,0.007927666785902981,0.03260543113083455,0.01023761810238005,0.007378691221635236,0.007737075963423222,0.007737075963423222,0.010106964845150328,0.010106964845150328,0.010106964845150328
101,0.0,-0.024558373581193643,-0.012376075628498136,0.012915817592843932,-0.012616727168605122,-0.01309287805258763,-0.013485295950460306,-0.013485295950460306,-0.013271263727680923,-0.013271263727680923,-0.013271263727680923
102,0.0,0.007571155092915658,-0.0006902611311214682,0.012915817592843932,0.0026495060578763507,0.0013478178541908555,0.0013478178541908555,0.0013478178541908555,0.006491991093748899,-0.003355794862598134,-0.003355794862598134
103,0.0,-0.000456939490371099,0.017798943453952738,0.44764293040967823,0.015797548227653203,0.01773612596198508,0.01773603570499994,0.01773603570499994,0.019152104448157115,0.019152104448157115,0.019152104448157115
104,0.0,0.001780584576078394,0.011674242702545965,0.025607673744602284,0.009305945163736873,0.008845519181989687,0.008845519181989687,0.008845519181989687,0.010743771828055193,0.010743771828055193,0.010743771828055193
105,0.0,0.0015765006796324438,-0.005333444303040596,0.012915817592843932,-0.002456860948383171,-0.0005952813271902217,-0.0005952813271902217,-0.0005952813271902217,-0.003355794862598134,-0.003355794862598134,-0.003355794862598134
106,0.0,0.004652534753042297,0.013912832997732836,0.03260543113083455,0.015797548227653203,0.014172896468284579,0.014172986948459783,0.014172986948459783,0.019152104448157115,0.019152104448157115,0.019152104448157115
107,0.0,0.015835870779173394,0.016755989533956635,0.041028234584623645,0.011277750633356539,0.012254195194730623,0.012254195194730623,0.012254195194730623,0.015119816927750569,0.004851481473923573,0.015119816927750569
108,0.0,0.016829083140870154,0.012544836956848257,0.01909933150174009,0.008534695942246059,0.009314873111552994,0.009314873111552994,0.009314873111552994,0.009586048829197932,0.009586048829197932,0.009586048829197932
109,0.0,-0.002310160687201116,0.0009614762374450873,0.01909933150174009,-0.001963400670896693,-0.0008943633687030854,-0.0008943633687030854,-0.0008943633687030854,0.0,0.0,0.0
110,0.0,-0.008476755616449056,0.012842935960655976,0.03991053666555725,0.01682664439142771,0.015087370405329849,0.01439290542878847,0.01439290542878847,0.0074539705389033905,0.016277820925909604,0.016277820925909604
111,0.0,-0.01952090725813706,-0.014615862020166482,0.00033408280451822155,-0.011253291274536538,-0.013423217730309427,-0.013423217730309427,-0.013423217730309427,-0.014528423307397658,-0.014528423307397658,-0.0058112062062885645
112,0.0,-0.00976672424549699,-0.007874810857147403,0.02284727316956213,-0.004630950805861249,-0.0061253308757381435,-0.0061253308757381435,-0.0061253308757381435,-0.0047641165097746345,-0.0047641165097746345,-0.0047641165097746345
113,0.0,0.003722156470871008,-0.0025269280290389756,0.0022224421620449684,-0.006132446576216935,-0.0026028042939187737,-0.0026028042939187737,-0.0026028042939187737,0.0,0.0,0.0
114,0.0,-0.012849331438557769,-0.006135045755724688,0.4178992161038757,-0.006313076608847781,-0.005944558719489279,-0.006668469862303033,-0.006668469862303033,-0.0081552415475781,-0.0081552415475781,-0.0081552415475781
115,0.0,0.02233174610326695,0.006829227678384465,0.02560583128220377,0.009305945163736873,0.00737473167640087,0.00700682372468032,0.00700682372468032,0.0014059072487190615,0.010743771828055193,0.0014059072487190615
