T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
104.0,0.0,0.17391304347826086,0.17391304347826086,0.0,0.0,0.2608695652173913,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.391304347826087,0.30434782608695654
105.0,0.0,0.16,0.2,0.0,0.0,0.24,0.32,0.32,0.28,0.36,0.32
106.0,0.0,0.2,0.2,0.0,0.0,0.2,0.28,0.32,0.28,0.36,0.28
107.0,0.11764705882352941,0.17647058823529413,0.14705882352941177,0.11764705882352941,0.0,0.14705882352941177,0.29411764705882354,0.3235294117647059,0.2647058823529412,0.3235294117647059,0.23529411764705882
108.0,0.11764705882352941,0.17647058823529413,0.14705882352941177,0.11764705882352941,0.0,0.14705882352941177,0.29411764705882354,0.3235294117647059,0.2647058823529412,0.3235294117647059,0.23529411764705882
109.0,0.16216216216216217,0.16216216216216217,0.13513513513513514,0.10810810810810811,0.0,0.16216216216216217,0.2702702702702703,0.32432432432432434,0.2972972972972973,0.2972972972972973,0.2702702702702703
110.0,0.16666666666666666,0.1388888888888889,0.1388888888888889,0.1111111111111111,0.0,0.1111111111111111,0.25,0.3055555555555556,0.3055555555555556,0.2777777777777778,0.2777777777777778
111.0,0.288135593220339,0.2542372881355932,0.2542372881355932,0.1864406779661017,0.01694915254237288,0.15254237288135594,0.288135593220339,0.3389830508474576,0.3898305084745763,0.3220338983050847,0.3559322033898305
112.0,0.30357142857142855,0.23214285714285715,0.23214285714285715,0.19642857142857142,0.017857142857142856,0.125,0.25,0.32142857142857145,0.35714285714285715,0.2857142857142857,0.32142857142857145
113.0,0.25,0.25,0.2222222222222222,0.2361111111111111,0.027777777777777776,0.16666666666666666,0.2916666666666667,0.3611111111111111,0.3888888888888889,0.3611111111111111,0.3611111111111111
114.0,0.2465753424657534,0.2465753424657534,0.2191780821917808,0.2328767123287671,0.0273972602739726,0.1643835616438356,0.2876712328767123,0.3561643835616438,0.3835616438356164,0.3561643835616438,0.3561643835616438
115.0,0.25287356321839083,0.27586206896551724,0.25287356321839083,0.27586206896551724,0.022988505747126436,0.19540229885057472,0.3218390804597701,0.3793103448275862,0.3793103448275862,0.367816091954023,0.39080459770114945
116.0,0.25287356321839083,0.27586206896551724,0.25287356321839083,0.27586206896551724,0.022988505747126436,0.19540229885057472,0.3218390804597701,0.3793103448275862,0.3793103448275862,0.367816091954023,0.39080459770114945
117.0,0.2838709677419355,0.3032258064516129,0.32903225806451614,0.3096774193548387,0.04516129032258064,0.2903225806451613,0.34838709677419355,0.3935483870967742,0.3935483870967742,0.4,0.33548387096774196
118.0,0.28205128205128205,0.3076923076923077,0.3333333333333333,0.3076923076923077,0.04487179487179487,0.28846153846153844,0.34615384615384615,0.391025641025641,0.3974358974358974,0.40384615384615385,0.33974358974358976
