T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default,zplane/auftakt_v3
98.0,0.9943502824858758,0.9717514124293786,0.9717514124293786,0.9661016949152542,0.9717514124293786,0.9096045197740112,0.9774011299435028,0.9774011299435028,0.9717514124293786,0.9830508474576272,0.632768361581921,0.9943502824858758,0.9943502824858758,0.9943502824858758,0.9887005649717514,0.9774011299435028,0.9887005649717514,0.9661016949152542,0.9717514124293786
99.0,0.9942196531791907,0.9710982658959537,0.9710982658959537,0.9653179190751445,0.9710982658959537,0.9132947976878613,0.9826589595375722,0.9826589595375722,0.976878612716763,0.9826589595375722,0.6184971098265896,0.9942196531791907,0.9942196531791907,0.9942196531791907,0.9884393063583815,0.9826589595375722,0.9942196531791907,0.9710982658959537,0.9710982658959537
100.0,0.9941520467836257,0.9707602339181286,0.9707602339181286,0.9649122807017544,0.9766081871345029,0.9239766081871345,0.9824561403508771,0.9883040935672515,0.9824561403508771,0.9883040935672515,0.6198830409356725,0.9941520467836257,0.9941520467836257,0.9941520467836257,0.9883040935672515,0.9824561403508771,0.9941520467836257,0.9707602339181286,0.9766081871345029
101.0,0.9940119760479041,0.9760479041916168,0.9760479041916168,0.9700598802395209,0.9760479041916168,0.9341317365269461,0.9820359281437125,0.9880239520958084,0.9820359281437125,0.9880239520958084,0.6167664670658682,1.0,1.0,1.0,0.9880239520958084,0.9880239520958084,0.9940119760479041,0.9700598802395209,0.9760479041916168
102.0,0.9941520467836257,0.9766081871345029,0.9766081871345029,0.9707602339181286,0.9707602339181286,0.935672514619883,0.9824561403508771,0.9883040935672515,0.9824561403508771,0.9883040935672515,0.6257309941520468,1.0,1.0,1.0,0.9883040935672515,0.9941520467836257,0.9941520467836257,0.9766081871345029,0.9766081871345029
103.0,0.9938271604938271,0.9753086419753086,0.9753086419753086,0.9691358024691358,0.9876543209876543,0.9629629629629629,0.9814814814814815,0.9938271604938271,0.9814814814814815,0.9876543209876543,0.6234567901234568,1.0,1.0,1.0,0.9876543209876543,0.9938271604938271,0.9938271604938271,0.9753086419753086,0.9876543209876543
104.0,0.9938271604938271,0.9753086419753086,0.9753086419753086,0.9691358024691358,0.9876543209876543,0.9629629629629629,0.9814814814814815,0.9938271604938271,0.9814814814814815,0.9876543209876543,0.6234567901234568,1.0,1.0,1.0,0.9876543209876543,0.9938271604938271,0.9938271604938271,0.9753086419753086,0.9876543209876543
105.0,0.9938271604938271,0.9753086419753086,0.9753086419753086,0.9691358024691358,0.9876543209876543,0.9691358024691358,0.9876543209876543,1.0,0.9876543209876543,0.9938271604938271,0.6296296296296297,1.0,1.0,1.0,0.9876543209876543,0.9938271604938271,0.9938271604938271,0.9814814814814815,0.9876543209876543
106.0,0.9941176470588236,0.9764705882352941,0.9764705882352941,0.9705882352941176,0.9882352941176471,0.9705882352941176,0.9882352941176471,1.0,0.9882352941176471,0.9941176470588236,0.6411764705882353,1.0,1.0,1.0,0.9882352941176471,0.9941176470588236,0.9941176470588236,0.9823529411764705,0.9882352941176471
107.0,0.9936708860759493,0.9746835443037974,0.9746835443037974,0.9683544303797469,0.9873417721518988,0.9810126582278481,0.9936708860759493,1.0,0.9873417721518988,0.9936708860759493,0.6518987341772152,1.0,1.0,1.0,0.9936708860759493,0.9936708860759493,0.9936708860759493,0.9873417721518988,0.9873417721518988
108.0,0.9936708860759493,0.9746835443037974,0.9746835443037974,0.9683544303797469,0.9873417721518988,0.9810126582278481,0.9936708860759493,1.0,0.9873417721518988,0.9936708860759493,0.6455696202531646,1.0,1.0,1.0,0.9936708860759493,0.9936708860759493,0.9936708860759493,0.9873417721518988,0.9873417721518988
109.0,0.9936305732484076,0.9745222929936306,0.9745222929936306,0.9681528662420382,0.9872611464968153,0.9808917197452229,0.9936305732484076,1.0,0.9872611464968153,0.9936305732484076,0.643312101910828,1.0,1.0,1.0,0.9936305732484076,0.9936305732484076,0.9936305732484076,0.9872611464968153,0.9872611464968153
110.0,0.9878787878787879,0.9757575757575757,0.9757575757575757,0.9696969696969697,0.9818181818181818,0.9818181818181818,0.9939393939393939,1.0,0.9818181818181818,0.9939393939393939,0.6424242424242425,1.0,1.0,1.0,0.9939393939393939,0.9939393939393939,0.9939393939393939,0.9878787878787879,0.9878787878787879
111.0,0.9795918367346939,0.9591836734693877,0.9591836734693877,0.9489795918367347,0.9693877551020408,0.9795918367346939,0.9897959183673469,1.0,0.9693877551020408,0.9897959183673469,0.673469387755102,1.0,1.0,1.0,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9795918367346939,0.9897959183673469
112.0,0.9803921568627451,0.9509803921568627,0.9509803921568627,0.9411764705882353,0.9705882352941176,0.9803921568627451,0.9901960784313726,1.0,0.9607843137254902,0.9901960784313726,0.6666666666666666,1.0,1.0,1.0,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9803921568627451,0.9901960784313726
113.0,0.9861111111111112,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.9722222222222222,0.9861111111111112,1.0,1.0,0.9583333333333334,1.0,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,1.0
114.0,0.9935483870967742,0.9483870967741935,0.9483870967741935,0.9483870967741935,0.9806451612903225,0.9870967741935484,1.0,1.0,0.9806451612903225,1.0,0.7548387096774194,0.9935483870967742,0.9935483870967742,0.9935483870967742,1.0,1.0,0.9935483870967742,0.9935483870967742,1.0
115.0,0.9914529914529915,0.9658119658119658,0.9658119658119658,0.9658119658119658,0.9743589743589743,0.9829059829059829,1.0,1.0,0.9743589743589743,1.0,0.8461538461538461,0.9914529914529915,0.9914529914529915,0.9914529914529915,1.0,1.0,0.9914529914529915,0.9914529914529915,1.0
116.0,0.9915254237288136,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9745762711864406,0.9830508474576272,1.0,1.0,0.9745762711864406,1.0,0.847457627118644,0.9915254237288136,0.9915254237288136,0.9915254237288136,1.0,1.0,0.9915254237288136,0.9915254237288136,1.0
117.0,0.9914529914529915,0.9658119658119658,0.9658119658119658,0.9658119658119658,0.9743589743589743,0.9829059829059829,1.0,1.0,0.9829059829059829,1.0,0.8547008547008547,0.9914529914529915,0.9914529914529915,0.9914529914529915,1.0,1.0,0.9914529914529915,0.9914529914529915,1.0
118.0,0.984375,0.96875,0.96875,0.96875,0.984375,0.9791666666666666,1.0,1.0,0.984375,1.0,0.8645833333333334,0.9947916666666666,0.9947916666666666,0.9947916666666666,1.0,1.0,0.9947916666666666,0.9947916666666666,1.0
119.0,0.9842105263157894,0.968421052631579,0.968421052631579,0.968421052631579,0.9842105263157894,0.9789473684210527,1.0,1.0,0.9842105263157894,1.0,0.8631578947368421,0.9947368421052631,0.9947368421052631,0.9947368421052631,1.0,1.0,0.9947368421052631,0.9947368421052631,1.0
120.0,0.9842105263157894,0.968421052631579,0.968421052631579,0.968421052631579,0.9842105263157894,0.9789473684210527,1.0,1.0,0.9842105263157894,1.0,0.868421052631579,0.9947368421052631,0.9947368421052631,0.9947368421052631,1.0,1.0,0.9947368421052631,1.0,1.0
121.0,0.9842105263157894,0.968421052631579,0.968421052631579,0.968421052631579,0.9842105263157894,0.9789473684210527,1.0,1.0,0.9842105263157894,1.0,0.868421052631579,0.9947368421052631,0.9947368421052631,0.9947368421052631,1.0,1.0,0.9947368421052631,1.0,1.0
122.0,0.9851485148514851,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9801980198019802,0.9801980198019802,1.0,1.0,0.9851485148514851,1.0,0.8712871287128713,0.995049504950495,0.995049504950495,0.995049504950495,1.0,1.0,0.995049504950495,1.0,1.0
123.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9848484848484849,0.9848484848484849,1.0,1.0,0.9848484848484849,1.0,0.8737373737373737,0.9949494949494949,0.9949494949494949,0.9949494949494949,1.0,1.0,0.9949494949494949,1.0,1.0
124.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9848484848484849,0.9848484848484849,1.0,1.0,0.9848484848484849,1.0,0.8737373737373737,0.9949494949494949,0.9949494949494949,0.9949494949494949,1.0,1.0,0.9949494949494949,1.0,1.0
125.0,0.9849246231155779,0.9698492462311558,0.9698492462311558,0.9698492462311558,0.9798994974874372,0.9849246231155779,1.0,1.0,0.9798994974874372,1.0,0.8743718592964824,0.9949748743718593,0.9949748743718593,0.9949748743718593,1.0,1.0,0.9949748743718593,1.0,1.0
126.0,0.9851485148514851,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9801980198019802,0.9851485148514851,1.0,1.0,0.9801980198019802,1.0,0.8762376237623762,0.995049504950495,0.995049504950495,0.995049504950495,1.0,1.0,0.995049504950495,1.0,1.0
127.0,0.9845360824742269,0.9690721649484536,0.9690721649484536,0.9690721649484536,0.979381443298969,0.9845360824742269,1.0,1.0,0.979381443298969,1.0,0.8762886597938144,0.9948453608247423,0.9948453608247423,0.9948453608247423,1.0,1.0,0.9948453608247423,1.0,1.0
128.0,0.984375,0.96875,0.96875,0.96875,0.9791666666666666,0.984375,1.0,1.0,0.9791666666666666,1.0,0.875,0.9947916666666666,0.9947916666666666,0.9947916666666666,1.0,1.0,0.9947916666666666,1.0,1.0
129.0,0.9842931937172775,0.9685863874345549,0.9685863874345549,0.9685863874345549,0.9790575916230366,0.9842931937172775,1.0,1.0,0.9790575916230366,1.0,0.8795811518324608,0.9947643979057592,0.9947643979057592,0.9947643979057592,1.0,1.0,0.9947643979057592,1.0,1.0
130.0,0.9842931937172775,0.9685863874345549,0.9685863874345549,0.9685863874345549,0.9790575916230366,0.9842931937172775,1.0,1.0,0.9790575916230366,1.0,0.8795811518324608,0.9947643979057592,0.9947643979057592,0.9947643979057592,1.0,1.0,0.9947643979057592,1.0,1.0
131.0,0.9891304347826086,0.967391304347826,0.967391304347826,0.967391304347826,0.9836956521739131,0.9836956521739131,1.0,1.0,0.9836956521739131,1.0,0.8913043478260869,0.9945652173913043,0.9945652173913043,0.9945652173913043,1.0,1.0,0.9945652173913043,1.0,1.0
132.0,0.9891304347826086,0.967391304347826,0.967391304347826,0.967391304347826,0.9836956521739131,0.9836956521739131,1.0,1.0,0.9836956521739131,1.0,0.8913043478260869,0.9945652173913043,0.9945652173913043,0.9945652173913043,1.0,1.0,0.9945652173913043,1.0,1.0
133.0,0.9888888888888889,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9833333333333333,0.9833333333333333,1.0,1.0,0.9888888888888889,1.0,0.9,0.9944444444444445,0.9944444444444445,0.9944444444444445,1.0,1.0,0.9944444444444445,1.0,1.0
134.0,0.9888888888888889,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9833333333333333,0.9833333333333333,1.0,1.0,0.9888888888888889,1.0,0.9,0.9944444444444445,0.9944444444444445,0.9944444444444445,1.0,1.0,0.9944444444444445,1.0,1.0
135.0,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,1.0,1.0,0.979381443298969,1.0,0.8969072164948454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
