T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
151.0,0.11002188500903663,0.2365163098010319,0.11364181150319483,0.22481767863782504,0.13327597096541896,0.056968961541001936,0.12183576045856896,0.13059337025917425,0.18930682234683865
152.0,0.11002188500903663,0.2365163098010319,0.11364181150319483,0.22481767863782504,0.13327597096541896,0.056968961541001936,0.12183576045856896,0.13059337025917425,0.18930682234683865
153.0,0.14668574790936717,0.3130124696572141,0.15084626624668604,0.29911941527724134,0.17706380504736655,0.07532112581481053,0.16196654165486898,0.1736433547223427,0.25192795750589525
154.0,0.14668574790936717,0.3130124696572141,0.15084626624668604,0.29911941527724134,0.17706380504736655,0.07532112581481053,0.16196654165486898,0.1736433547223427,0.25192795750589525
155.0,0.1346143953733434,0.2755457194545792,0.1412651209096437,0.2678022620609114,0.17641350089108163,0.1001064914666646,0.14099108085929704,0.14974869065990232,0.19580562448007474
156.0,0.1346143953733434,0.2755457194545792,0.1412651209096437,0.2678022620609114,0.17641350089108163,0.1001064914666646,0.14099108085929704,0.14974869065990232,0.19580562448007474
157.0,0.1346143953733434,0.2755457194545792,0.1412651209096437,0.2678022620609114,0.17641350089108163,0.1001064914666646,0.14099108085929704,0.14974869065990232,0.19580562448007474
158.0,0.1346143953733434,0.2755457194545792,0.1412651209096437,0.2678022620609114,0.17641350089108163,0.1001064914666646,0.14099108085929704,0.14974869065990232,0.19580562448007474
159.0,0.1346143953733434,0.2755457194545792,0.1412651209096437,0.2678022620609114,0.17641350089108163,0.1001064914666646,0.14099108085929704,0.14974869065990232,0.19580562448007474
160.0,0.1323234812262799,0.2302359749537938,0.08939772481281541,0.24011157011049514,0.12408854285179446,0.12408854285179446,0.10701233398588424,0.11576994378648953,0.1504958799792894
161.0,0.1323234812262799,0.2302359749537938,0.08939772481281541,0.24011157011049514,0.12408854285179446,0.12408854285179446,0.10701233398588424,0.11576994378648953,0.1504958799792894
162.0,0.1323234812262799,0.2302359749537938,0.08939772481281541,0.24011157011049514,0.12408854285179446,0.12408854285179446,0.10701233398588424,0.11576994378648953,0.1504958799792894
163.0,0.1323234812262799,0.2302359749537938,0.08939772481281541,0.24011157011049514,0.12408854285179446,0.12408854285179446,0.10701233398588424,0.11576994378648953,0.1504958799792894
164.0,0.06912665612687213,0.250137548042278,0.1189959285208159,0.2903672017696262,0.13473917482335696,0.13473917482335696,0.10948675050885742,0.11244613429100829,0.08762794566354433
165.0,0.05585263373006509,0.19514154423311708,0.09061948801952663,0.2458301903629889,0.10540840729938791,0.10540840729938791,0.08516082539052358,0.08541086890651792,0.06679722743591995
166.0,0.047577854319614754,0.10405665722266293,0.08327501055264215,0.1659001833865684,0.11423721232626775,0.11423721232626775,0.09366909816269643,0.09104310573520469,0.0691843008898916
