Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
77,1.0453211051319116,0.040793578927837706,0.05298544056232691,0.05208586451392017,1.0991375651586428,0.04024478337799232,0.052095088014246935,0.002007567519482633,0.002007567519482633,0.02643828595076781,0.0491583624508513,1.0491583624508514,0.02643828595076781
78,0.34035156680623074,0.9904124900503012,0.4551095345024754,0.06081232406093856,2.009393574586198,1.4619056955354066,1.62122552658026,0.6301863435101056,0.6301863435101056,1.4023578677271349,0.5443768725995629,1.2813424667657691,1.226200912573308
79,0.07510065377530974,0.06298542458934873,0.03238329928927654,0.07002190269117192,0.947636012958741,0.3261476362124709,0.09453615295819988,0.07871124205147702,0.07871124205147702,0.49756965243807716,0.49756965243807716,0.38950990658062434,0.3406003060996778
80,1.7323948046627002,0.7322721734381042,0.3346255645596253,1.06465993872267,1.7631503320963282,1.05499277254216,1.044287286694329,1.0380417997206268,0.038041799720626754,1.7120182894533371,1.7120182894533371,0.9833203112707313,1.2969807901744932
81,1.7101073168107805,0.17081144316329103,0.17683709444799933,0.8026395277395164,1.7398527758672222,0.7804966447021785,0.862702970753414,0.8832976005236479,0.8832976005236479,0.7139493831051748,0.6023040272762656,0.7139493831051748,0.5516779542062977
82,4.0395972829784816e-05,0.003815674869694268,0.0076008589324348275,0.0048961430279576305,0.00702513393113888,0.00702513393113888,0.014621713167669612,0.012477952142008612,0.012477952142008612,0.0114937152457239,1.0429540687766525,0.5936466674130625,0.0019268005165977008
83,1.490780154792347e-05,0.9513935582330292,1.0320169887870578,1.0979775770591453,0.038394113825546715,1.0425251836557254,0.9648232504747192,0.9642497933414925,0.9642497933414925,1.0419587379257635,1.0419587379257635,1.0419587379257635,0.13137286495979839
84,0.03752568178191836,0.025413579440640464,0.03007437761250656,0.010251875599271971,1.0783756426036482,0.03256888222294888,0.04099783109072568,0.05493685467379119,0.05493685467379119,0.0895048834316693,0.9066408262818589,0.0895048834316693,0.036025998652189584
85,0.031964871749085376,0.05892733752509534,0.04464798676091989,0.0054970756141295785,1.0532306617784335,0.10700155531008727,0.04618527940986123,0.04812048563231333,0.04812048563231333,1.0179157501657172,0.017708159565003965,0.3973293397138399,0.017708159565003965
86,0.5665394868410857,0.1616323252249745,0.17943867961488158,0.17653028580486718,1.3171943083948832,0.8730974282469305,0.8649963733783248,1.1067900041019016,2.1067900041019016,0.8510247664730483,0.8510247664730483,0.7300093655116824,0.6748678113192214
87,0.011557258340289374,0.5910076184745375,0.5907243760978766,0.5958142502005526,0.6118007708638893,0.5903277433248729,0.5932840844811464,0.5932840844811464,0.5932840844811464,0.5784920467268625,0.5784920467268625,0.5784920467268625,0.5641367537497924
88,0.0022485083703228776,0.0042476597355249794,0.0013248879540844944,0.0024023876346027638,0.005524128934755087,0.001019142652376972,0.0012283023928858876,0.002445300277047453,0.002445300277047453,0.006090574664716934,0.006090574664716934,0.009339465904889004,0.009339465904889004
89,1.5662484922603905,0.5787908414744011,0.5733123398416337,0.5633385532533726,0.6046276982843893,0.577146515204636,0.5278625390715299,0.5278625390715299,0.5278625390715299,0.7641018612055478,1.5471148228911904,0.5242748465330792,1.5471148228911904
90,1.0098293077203928,0.5696613417907038,0.5550755406595101,0.5883218175435315,0.24192515416456747,0.09306040560343944,0.0022792954769466074,9.732170816529833e-06,9.732170816529833e-06,1.0098293077203928,0.024184600697462942,0.009829307720392871,0.01931703793912367
91,0.015231818282125378,0.0057796924796949594,0.006611217021958903,0.006611217021958903,0.012653553288308453,0.005641151639247642,0.007411124584124312,0.007411124584124312,0.007411124584124312,0.007581935113680385,0.007581935113680385,0.007581935113680385,0.007581935113680385
92,0.13028541199248886,0.0797555201949706,0.8461741709481321,0.03676075151172125,0.21138510376668557,0.16517827561362303,0.048833940672668,0.14428068249811674,0.14428068249811674,0.02431967919541294,0.1012816610102971,0.151837275958414,0.151837275958414
93,0.07539182147990728,0.9400700211005253,0.9309314650855579,0.043292950014475515,0.04767123779295831,0.9473146096484903,0.5950547953930596,0.560819816450936,0.560819816450936,0.04208280451568127,0.927963973382691,0.04208280451568127,0.05213646917960407
94,0.06810417552644975,0.040864248536938395,0.028965036194559757,0.05236471043353083,0.25241185932973337,0.22957286003266142,0.03581653941408189,0.07026702837580649,0.07026702837580649,0.3295972137973286,0.3295972137973286,0.3295972137973286,0.3295972137973286
95,0.007498383738829545,0.020824854092527975,0.5171232924778045,0.0012524401893915977,1.055165192469806,1.0195435160286985,1.0312842379474838,0.032317187420474285,0.032317187420474285,1.030398785848908,0.4846575949254708,1.030398785848908,0.948604694685261
96,1.0451119341653659,0.9681105255234703,0.9687495223408654,0.9828944837527864,1.0521099705797268,1.025638624617432,1.0970167668685058,1.0993194958719457,0.09931952505071986,1.0715290608568844,1.0715290608568844,1.0565787193909129,0.02620507034739392
97,2.2377838051751473,1.2576418606598347,1.2880546401483604,1.2593483844463331,2.2854273435113943,1.2265305139006109,1.2969135274234782,1.1688790649679972,1.1688790649679972,1.249250590400694,1.249250590400694,1.249250590400694,1.249250590400694
98,0.0192335334732716,0.9986321082639307,0.9983789372461908,0.005230197348265766,0.044936211405842086,0.3904522502992591,0.00879925045291081,0.3916907309671961,0.3916907309671961,0.02696517031451496,0.02696517031451496,0.38807232896432897,0.6036124028236675
99,0.009964660472390216,0.0028087791212844044,0.007776457054147689,0.004880724100258453,0.017920711098043572,0.0032648623959015684,0.0016791450903031102,0.0022244501754092555,0.0022244501754092555,0.002314777303945356,0.002314777303945356,0.002314777303945356,0.002314777303945356
100,1.0710802418767065,1.0398425761480148,0.016119665363277313,1.0470483458808668,1.078081795715607,1.078081795715607,0.015360561098682965,0.9869402411846967,0.9869402411846967,1.160549539103526,1.07249336243833,1.07249336243833,1.082547027102253
101,0.034847773769830524,0.039399663739804615,0.009073505878253665,0.011855110725804927,1.4197095597969085,0.7226370417056073,0.014851492405118228,0.009069209170816609,0.009069209170816609,0.5716665909172506,0.5716665909172506,0.45065118995588477,0.06392198287387352
