T (BPM),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
98.0,0.6578947368421053,0.7105263157894737,0.6052631578947368,0.6842105263157895,0.47368421052631576,0.6052631578947368,0.5789473684210527,0.6842105263157895,0.7368421052631579,0.631578947368421,0.6052631578947368,0.7105263157894737,0.6052631578947368
99.0,0.6666666666666666,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.4722222222222222,0.6111111111111112,0.5833333333333334,0.6944444444444444,0.75,0.6388888888888888,0.6111111111111112,0.7222222222222222,0.6111111111111112
100.0,0.6756756756756757,0.7567567567567568,0.6486486486486487,0.7027027027027027,0.4594594594594595,0.6216216216216216,0.5945945945945946,0.6756756756756757,0.7297297297297297,0.6216216216216216,0.5945945945945946,0.7027027027027027,0.5945945945945946
101.0,0.6857142857142857,0.7714285714285715,0.6571428571428571,0.7142857142857143,0.4857142857142857,0.6,0.6,0.6857142857142857,0.7428571428571429,0.6285714285714286,0.6,0.7142857142857143,0.6
102.0,0.6764705882352942,0.7941176470588235,0.6764705882352942,0.7352941176470589,0.5,0.6176470588235294,0.6176470588235294,0.7058823529411765,0.7647058823529411,0.6470588235294118,0.6176470588235294,0.7352941176470589,0.6176470588235294
103.0,0.6551724137931034,0.7586206896551724,0.5862068965517241,0.7241379310344828,0.5172413793103449,0.6551724137931034,0.6551724137931034,0.7586206896551724,0.7586206896551724,0.6551724137931034,0.6896551724137931,0.6896551724137931,0.6206896551724138
104.0,0.6785714285714286,0.75,0.5714285714285714,0.75,0.5357142857142857,0.6428571428571429,0.6785714285714286,0.75,0.7142857142857143,0.6785714285714286,0.7142857142857143,0.6785714285714286,0.6071428571428571
105.0,0.7037037037037037,0.7407407407407407,0.5925925925925926,0.7777777777777778,0.5555555555555556,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.7407407407407407,0.6666666666666666,0.7407407407407407,0.6666666666666666,0.6296296296296297
106.0,0.7307692307692307,0.7307692307692307,0.5769230769230769,0.7692307692307693,0.5769230769230769,0.6538461538461539,0.7307692307692307,0.7692307692307693,0.7307692307692307,0.6923076923076923,0.7307692307692307,0.6538461538461539,0.6153846153846154
107.0,0.6923076923076923,0.7692307692307693,0.5769230769230769,0.7692307692307693,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.7307692307692307,0.6923076923076923,0.6923076923076923,0.7307692307692307,0.6538461538461539,0.6153846153846154
