T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
87.0,-0.04404490536004287,0.4024223541303545,-0.0015660162476071285,0.10668863932355666,0.18985615170220208,0.18985615170220208,0.42806957287992714,0.3943642338441302,0.22755046781959568
88.0,-0.04404490536004287,0.4024223541303545,-0.0015660162476071285,0.10668863932355666,0.18985615170220208,0.18985615170220208,0.42806957287992714,0.3943642338441302,0.22755046781959568
89.0,-0.04388437101855485,0.3730094686173041,-0.002206800353267104,0.10381847404312167,0.1649158375017206,0.1649158375017206,0.41865947332565806,0.3856419983518161,0.22223259489921096
90.0,-0.04386573046336653,0.35234627277729585,-0.0018431538025932457,0.10400607593704349,0.14469106431325043,0.14469106431325043,0.3984382488212801,0.385975784080177,0.22260766692604472
91.0,-0.04427229810665317,0.2849677566282717,-0.0016011069999689563,0.08567751816644499,0.06469531624536919,0.06469531624536919,0.3654504487281871,0.4147801183768541,0.22762339637680104
92.0,-0.04541796724184407,0.2667902604675514,-0.0009882653543070161,0.09019701469839693,0.024808822417609323,0.024808822417609323,0.33864055119451103,0.4118541195235547,0.2382992791756734
93.0,-0.04763419135074388,0.23238817333731943,-0.0010581330279354443,0.09428790675728776,0.025927523918282548,0.025927523918282548,0.33130603079426146,0.40784748859280723,0.22640379186547668
94.0,-0.037432302190866955,0.2544382210829956,0.012170279738130903,0.061430578299904844,0.03685807034994359,0.03685807034994359,0.31722396176909284,0.39834966090465007,0.19853095073804408
95.0,-0.03853146977975909,0.23582539889185974,0.01244696512589498,0.06288418319122407,0.037742743162773595,0.037742743162773595,0.3247769132397855,0.40783417664047505,0.20325787813656893
96.0,-0.042706762776373114,0.18800357688344585,0.013515426010013563,0.016988251640105815,0.026644055308425126,0.026644055308425126,0.31424203835605174,0.43578032383401055,0.23035556607672475
