T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn
185.0,0.8157109933873189,0.4043458703070365,0.23283661641822806,0.7906409762157448,0.7787375211201865,0.7519666681001926,0.8428082875907421,0.8381251455124082
186.0,0.8104750782450927,0.3941724639984646,0.23638333084194788,0.7920924396520215,0.7797638611601931,0.7520369062466281,0.8371942978618401,0.83234390070928
187.0,0.8187572451826838,0.38474699935501383,0.2298129206696122,0.8116206287876847,0.8025865957294542,0.7705719673756471,0.84747868484443,0.8477830341489044
188.0,0.8073389746625966,0.3789805570452274,0.22517084995213943,0.7939414946904665,0.7908281659400915,0.7436995425179035,0.8293025006976309,0.8416330803044235
189.0,0.8073389746625966,0.3789805570452274,0.22517084995213943,0.7939414946904665,0.7908281659400915,0.7436995425179035,0.8293025006976309,0.8416330803044235
190.0,0.8103024939722989,0.361346776976817,0.2147151078046907,0.803641108148124,0.8009677062863889,0.7604985622608144,0.8266537259130374,0.8465891114395597
191.0,0.8103024939722989,0.361346776976817,0.2147151078046907,0.803641108148124,0.8009677062863889,0.7604985622608144,0.8266537259130374,0.8465891114395597
192.0,0.8071774152710157,0.3475343636894489,0.21290842419051947,0.7999893862534971,0.7977931688813602,0.7539912718183854,0.8405642251758014,0.8505571382887224
193.0,0.8071774152710157,0.3475343636894489,0.21290842419051947,0.7999893862534971,0.7977931688813602,0.7539912718183854,0.8405642251758014,0.8505571382887224
194.0,0.8094195383492597,0.3492980699195678,0.21623754832178874,0.802315091064503,0.80014441110367,0.7568518384251484,0.8424181295342223,0.8522948459830395
195.0,0.7989495306080857,0.32933344182471724,0.20113212894106847,0.7860497791579989,0.7704617935557698,0.7271692208772482,0.8319481217930483,0.8468414364859115
196.0,0.7989495306080857,0.32933344182471724,0.20113212894106847,0.7860497791579989,0.7704617935557698,0.7271692208772482,0.8319481217930483,0.8468414364859115
197.0,0.7873369411130746,0.30592272472257415,0.1790209216065705,0.7680037467678388,0.759063640832901,0.7335655335585276,0.819432831009229,0.8365104985237122
198.0,0.7967570907901973,0.30046818062546665,0.1814977402042132,0.7786322210915386,0.7702508717775345,0.7390913877636194,0.826846987567842,0.84285730086267
199.0,0.839490917460485,0.2780462758361616,0.1808522729965096,0.7599184555086222,0.7846124422821131,0.7324193121357397,0.8146625953641805,0.8464313676411456
200.0,0.839490917460485,0.2780462758361616,0.1808522729965096,0.7599184555086222,0.7846124422821131,0.7324193121357397,0.8146625953641805,0.8464313676411456
201.0,0.839490917460485,0.2780462758361616,0.1808522729965096,0.7599184555086222,0.7846124422821131,0.7324193121357397,0.8146625953641805,0.8464313676411456
202.0,0.8558291926675913,0.2927476932788838,0.18531550272196837,0.7941409766065831,0.8218587168625423,0.7632745911880415,0.8544161331896879,0.8720784433642212
203.0,0.8625062175772407,0.29031511687207967,0.19340199557006021,0.8251452229239724,0.8246754604307088,0.7842404117638414,0.8523242172192443,0.8806019740348513
204.0,0.8524456969121608,0.30291601155725556,0.19891168625752736,0.8300670567082196,0.8118468355841753,0.7684531248197323,0.8481928302747447,0.871865533110572
205.0,0.8524456969121608,0.30291601155725556,0.19891168625752736,0.8300670567082196,0.8118468355841753,0.7684531248197323,0.8481928302747447,0.871865533110572
206.0,0.8085637203147334,0.27041655074384424,0.1810521759062765,0.7868477514674587,0.7899707272168128,0.7325790452380334,0.8387064159877838,0.8664464056491852
207.0,0.8085637203147334,0.27041655074384424,0.1810521759062765,0.7868477514674587,0.7899707272168128,0.7325790452380334,0.8387064159877838,0.8664464056491852
208.0,0.8085637203147334,0.27041655074384424,0.1810521759062765,0.7868477514674587,0.7899707272168128,0.7325790452380334,0.8387064159877838,0.8664464056491852
209.0,0.83547875781854,0.27940858367623556,0.1768050421960652,0.8105456084012985,0.7907850162850486,0.76928869496893,0.8445131099886365,0.8763627277480232
210.0,0.8109201393250761,0.2748077611182013,0.17928032594700827,0.8075205411376625,0.7509168535470963,0.7309030371493307,0.8391454564086323,0.8687985488053026
211.0,0.7498948917939112,0.23666613606306222,0.18649040964933541,0.7080378326085898,0.5817680679834806,0.5371218621730804,0.8306133082279792,0.8306133082279792
212.0,0.7498948917939112,0.23666613606306222,0.18649040964933541,0.7080378326085898,0.5817680679834806,0.5371218621730804,0.8306133082279792,0.8306133082279792
213.0,0.7290527994434038,0.22251174598932266,0.16815470904111862,0.7331644172469775,0.546915406982104,0.49854868402083713,0.8164977505803108,0.8164977505803108
214.0,0.7290527994434038,0.22251174598932266,0.16815470904111862,0.7331644172469775,0.546915406982104,0.49854868402083713,0.8164977505803108,0.8164977505803108
215.0,0.7044212357564406,0.1973570774901997,0.13805849172852255,0.7089066369967028,0.5057258985259316,0.45296220075000415,0.7998157279057936,0.7998157279057936
216.0,0.7061317823827267,0.18983042612671852,0.18983042612671852,0.8372992090880871,0.6394612491130829,0.5669111646711826,0.8372992090880871,0.8372992090880871
217.0,0.7061317823827267,0.18983042612671852,0.18983042612671852,0.8372992090880871,0.6394612491130829,0.5669111646711826,0.8372992090880871,0.8372992090880871
218.0,0.7061317823827267,0.18983042612671852,0.18983042612671852,0.8372992090880871,0.6394612491130829,0.5669111646711826,0.8372992090880871,0.8372992090880871
219.0,0.3195858597755432,0.14179777105649313,0.14179777105649313,0.669365664323171,0.14179777105649313,0.14179777105649313,0.669365664323171,0.669365664323171
220.0,0.3195858597755432,0.14179777105649313,0.14179777105649313,0.669365664323171,0.14179777105649313,0.14179777105649313,0.669365664323171,0.669365664323171
221.0,0.3195858597755432,0.14179777105649313,0.14179777105649313,0.669365664323171,0.14179777105649313,0.14179777105649313,0.669365664323171,0.669365664323171
222.0,0.36902498453855515,0.10634832829236984,0.10634832829236984,0.5020242482423782,0.10634832829236984,0.10634832829236984,0.7520242482423782,0.7520242482423782
223.0,0.36902498453855515,0.10634832829236984,0.10634832829236984,0.5020242482423782,0.10634832829236984,0.10634832829236984,0.7520242482423782,0.7520242482423782
224.0,0.36902498453855515,0.10634832829236984,0.10634832829236984,0.5020242482423782,0.10634832829236984,0.10634832829236984,0.7520242482423782,0.7520242482423782
225.0,0.36902498453855515,0.10634832829236984,0.10634832829236984,0.5020242482423782,0.10634832829236984,0.10634832829236984,0.7520242482423782,0.7520242482423782
226.0,0.36902498453855515,0.10634832829236984,0.10634832829236984,0.5020242482423782,0.10634832829236984,0.10634832829236984,0.7520242482423782,0.7520242482423782
