T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
117.0,0.04867496730032318,0.030497658073040796,-0.06788126459145055,-0.027293645695120886,-0.0044046213247312775,-0.006135082150889615,-0.024152762196523663,-0.12839224331704122,-0.035499363810730954,-0.08567206084940951,-0.09429275018195447,0.004978984501212248,0.006237340822276467,0.016028542160384008,-0.014011914419611842
118.0,0.03993839902043546,0.030322517510319055,-0.06772666850432414,-0.0314483269254771,-0.0044111444684417,-0.006607516745822939,-0.032795512873938885,-0.14429169025430175,-0.03971853383321821,-0.08128116975792835,-0.08990185909047334,0.0006884576560347003,0.0018327196303987935,0.011855338934825087,-0.01395226430243026
119.0,0.023985626188343497,0.02643169425043711,-0.06974716667920008,-0.02855276637247756,-0.004709206206581105,-0.007375583697448752,-0.03478018961928577,-0.1490423303009198,-0.041903208985164524,-0.0677721761054602,-0.07690459585500556,-0.013166569994300195,-0.012247594435626927,-0.0012960045789334803,-0.01484734342116011
120.0,0.020877875615049984,0.029620211819791836,-0.07056425504077145,-0.04251365257141734,-0.004335893980825752,-0.008355301055749127,-0.03717014874527135,-0.16896538482095924,-0.04831442572918905,-0.06418304587721424,-0.07287869772569439,-0.01214515438781723,-0.020611178287251616,-0.0009480331721112376,-0.02071149277795799
121.0,0.02761868735949327,0.030891324527958314,-0.07601481401931617,-0.05983504579017829,-0.004376657814923065,-0.009105623629162963,-0.03989549471556344,-0.18429405513262997,-0.05182166045012619,-0.06433387235759587,-0.07372354336769181,-0.012978425170632187,-0.02711317432829334,-0.0008776726927234859,-0.024966548172734446
122.0,0.027749857032885527,0.031287151562698824,-0.07542762684105876,-0.07325018695947269,-0.004250619727253378,-0.00899330129651118,-0.03948883192103199,-0.18866362584743007,-0.05598351429057437,-0.06376879785157903,-0.07311459189433807,-0.012675856255112044,-0.0267445551830645,-0.0004365978855062941,-0.024595920839736354
123.0,0.024330002942883764,0.028280517792086134,-0.07280733839339723,-0.07933723644031165,-0.0033540492937275245,-0.007433974644364541,-0.037629195620889,-0.19446001388363393,-0.05684471755614524,-0.06996679958402902,-0.07977072078574683,-0.013217054408459786,-0.028050022840273428,-0.0030343514285508934,-0.02571558756097205
124.0,0.024916477516667337,0.02821646955311937,-0.07459737019671243,-0.07920296796607597,-0.003443517722790289,-0.007200307185582387,-0.0385626700321011,-0.202942452198619,-0.058283890548608566,-0.06661906674488674,-0.07666931762503967,-0.0184143326623066,-0.028850929424599207,-0.007975782873857286,-0.026323687396223337
125.0,0.031097005466332654,0.03268110262096356,-0.08359137894864067,-0.0750010558516531,-7.373378580270658e-05,-0.00725110663908924,-0.03198892308155937,-0.2279295146148305,-0.053231883249794804,-0.06677327035131243,-0.07214961430909311,-0.016469337785741642,-0.022008141844130844,-0.002217059206455943,-0.026477015694176133
126.0,0.032577001101905076,0.03248972527238953,-0.08905996040157485,-0.07988207141188905,-0.00028932906207660195,-0.009373874071169264,-0.034271539513273865,-0.2304089296473117,-0.045281826685607124,-0.05965418836263612,-0.06536847394062018,-0.012062143929445747,-0.017976627193206703,-0.00251296109616978,-0.02931005783710532
127.0,0.027530035457311298,0.030374009830929947,-0.09712845614487081,-0.09578858424135653,-0.00021161027714733952,-0.011559744213953286,-0.03744197665140914,-0.23467978659846983,-0.04646679762419451,-0.06103839132809686,-0.0668863444049811,-0.018293490214472206,-0.01879175215412357,-0.0025599689799996896,-0.03096772946718773
128.0,0.0224415289181678,0.02524683487762219,-0.10186436818740495,-0.1063857738597459,-0.00024478315356343973,-0.01106015363919943,-0.035977584793663156,-0.24187005461882558,-0.0483740974302767,-0.06365888486132099,-0.06979385404013821,-0.019100381669390463,-0.01956155798604188,-0.0033904656007816064,-0.03840722547404823
129.0,0.019401181874314073,0.02482942104301849,-0.11847330876606803,-0.12637470063503975,-0.0014599914580371992,-0.009685918687591452,-0.03955149287196063,-0.26347177695476953,-0.0614154954346079,-0.06344740976796255,-0.07015881900384985,-0.02621872991651384,-0.01990147888199239,-0.015468952055151055,-0.0430419957651008
130.0,0.019270094535054696,0.025313801087559262,-0.1298562097403061,-0.13746059333521696,-0.001173161568186786,-0.009994488243356974,-0.0453175339019089,-0.2556066494384827,-0.0735777394239078,-0.07566103588879426,-0.08228355228712013,-0.025830041001664413,-0.019665446377834232,-0.015018163513359684,-0.04196161559691434
131.0,0.007310734558833913,0.02636926361615069,-0.11727150008063233,-0.15414657859330236,-0.0013653614625950164,-0.011410672635097504,-0.05133613364743377,-0.2841912952945416,-0.07524549288686203,-0.07379068351124993,-0.07379068351124993,-0.022415935408385157,-0.014392230979541808,-0.007520862939979546,-0.04750823304722488
132.0,0.0074650638024728,0.026347886427317505,-0.11265407575391756,-0.14985875966532888,-0.0011325047428387368,-0.011689702384675801,-0.05233170818599916,-0.2856705555201035,-0.0767456283415103,-0.06761325579405142,-0.06761325579405142,-0.022655094807063996,-0.01435548239663969,-0.007418913808847568,-0.04841704329737421
133.0,0.004872013504402296,0.027538867567072967,-0.11302759930766149,-0.17864643757226145,-0.0014851397743939618,-0.018288385065815576,-0.06051571152441959,-0.33234694239319984,-0.08923551416647782,-0.060905407281773474,-0.060905407281773474,-0.017378180971316267,-0.016826605503206672,-0.008654783239807746,-0.06485751098201883
134.0,0.00539690031769055,0.028466411572209298,-0.11797811687683678,-0.1864809145792605,-0.0014217251146126414,-0.019135069559603337,-0.06310507726287364,-0.3390092711962905,-0.09316562115073898,-0.06352393524359463,-0.06352393524359463,-0.017964630687092878,-0.017713779878796194,-0.008837371949495998,-0.06764236319571879
135.0,0.006707065221365757,0.029213435453648025,-0.13505025342125293,-0.21377636053778873,-0.0008990134960405214,-0.020227069418034593,-0.08249681573112218,-0.37728257449087405,-0.10645299618013694,-0.08302054692960101,-0.08302054692960101,-0.02001884137199845,-0.020017480500435357,-0.009302445440368862,-0.08307565236253527
136.0,0.007045315375502474,0.030990862770113543,-0.13089294413688563,-0.2132740368815377,-0.0012485556180963382,-0.02067237435846017,-0.0918545917599445,-0.3631120175885525,-0.10677321632528189,-0.08052467989844621,-0.08052467989844621,-0.022394080749837206,-0.02266515212134551,-0.010680440602477847,-0.08101860432856445
