Item,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/ismir2018,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
CannonballAdderley_SoWhat_Solo.jams,0.013054357351632599,0.01751958873827846,0.007465924074355743,0.0026582931993516996,0.0018985384336879195,0.00035957191149337805,0.00035957191149337805,0.006052803512731964,0.0016404347619632927
CannonballAdderley_StarEyes_Solo.jams,0.007370465506761637,0.014619789272775532,0.015127554121276397,0.007633017574352105,0.0005826049215444653,0.0032010257795206123,0.0032010257795206123,0.0036020979857393012,0.005553597467993812
CannonballAdderley_ThisHere_Solo.jams,0.028050407832725693,0.0064081977259553774,0.0064081977259553774,0.018253856508313692,0.002713332469250065,0.002834412445291064,0.002834412445291064,0.0070716583220993825,0.008716199208832306
CannonballAdderley_WorkSong_Solo.jams,0.001620390468974825,0.003963855397162898,0.014414673917691665,0.005254674632215917,0.0038325391327444194,0.007078256952096726,0.007078256952096726,0.023985440813228804,0.0161213401686477
CharlieParker_Billie'sBounce_Solo.jams,0.028359149205368823,0.014905822522691351,0.003241524187568052,0.023894605749946132,0.005991336176914078,0.006354562639099754,0.006354562639099754,0.004246281925465802,0.011352962587818977
CharlieParker_BluesForAlice_Solo.jams,0.027402354466895085,0.008774398643804896,0.008774398643804896,0.008774398643804896,0.002348129484371929,0.0063657357507769675,0.0063657357507769675,0.020241183869351736,0.0063657357507769675
CharlieParker_Don'tBlameMe_Solo.jams,0.021350617322587234,0.007899523929523797,0.02631619140838908,0.030267336957978463,0.00986665467046215,0.0074625961951730055,0.0074625961951730055,0.004062266610584275,0.012166065848210847
CharlieParker_DonnaLee_Solo.jams,0.025265768180915426,0.014624107177352965,0.010910984929784517,0.010910984929784517,0.017266626515728276,0.0015893321453254268,0.0015893321453254268,0.004591681886580121,0.018849186881867454
CharlieParker_EmbraceableYou_Solo.jams,0.05076936886032216,0.005579682970455067,0.11145973821976429,0.005579682970455067,0.010128947666068979,0.018236883262053444,0.018236883262053444,0.0031314137416285823,0.09891820188308555
CharlieParker_HowDeepIsTheOcean_Solo.jams,0.19201707261088136,7.851187947500248e-05,7.851187947500248e-05,7.851187947500248e-05,0.03413720345843795,0.00950610093454052,0.00950610093454052,0.011388273346071787,0.006328435600760724
CharlieParker_K.C.Blues_Solo.jams,0.02078233739142062,0.030349705251570616,0.030349705251570616,0.030349705251570616,0.004106471607310338,0.007019261579230652,0.007019261579230652,0.009973190042207552,0.0017214905824388524
CharlieParker_Ko=Ko_Solo.jams,0.02261182114953977,0.4115250096310438,0.01309853847699779,0.01309853847699779,0.408249005220493,0.41469780837638975,0.41469780837638975,0.003512489647799973,0.4109020922316696
CharlieParker_MyLittleSuedeShoes_Solo.jams,0.01940957582169689,0.0031379633662550143,0.0031379633662550143,0.0031379633662550143,0.0010519305391686613,0.0026820901189003616,0.0026820901189003616,0.006493758228853207,0.0018998992715964964
CharlieParker_Ornithology_Solo.jams,0.022501625900855814,0.018038757412319282,0.007956451120625126,0.018038757412319282,0.0008262019854065679,0.414672763984148,0.414672763984148,0.006528691551945715,0.005497102951346329
CharlieParker_OutOfNowhere_Solo.jams,0.0466280391770462,0.03490785153116668,0.0024863738387892863,0.0024863738387892863,0.008152383894341917,0.022821186183096035,0.022821186183096035,0.004197248680134525,0.039077898494173605
CharlieParker_ScrappleFromTheApple_Solo.jams,0.004625421111656444,0.013539907457433574,0.013539907457433574,0.013539907457433574,0.002293678772059586,0.007222290814489019,0.007222290814489019,0.013539907457433574,0.025301733322021982
